tblInstallBase_Ident Item Id,Ident Asset Num,Country,SEN Connectivity,Overall Status,Substatus,Last Pour,Equip Serial Num Upper Case
9156057,10478443,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 04: 37: 37 PM,62A1449KD003
9386234,70043835,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211509PT012
9386231,70043807,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 01: 50 PM,6211511PT019
9404865,70046276,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 57: 28 PM,6211602PT006
9382037,70045626,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,01-26-2016 04: 49: 55 PM,6211513PT012
9403937,70045450,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 36: 07 PM,6211602PT014
9421575,70044764,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 08: 18: 35 PM,6211608PT084
9400094,70045898,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 55: 38 PM,6211604PT093
9382040,70045629,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 01 PM,6211513PT023
9405691,70047602,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 17 PM,6211602PT013
9382032,70045621,Canada,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,6211508PT008
9400085,70045889,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 44 PM,6211605PT079
9400091,70045895,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 15 PM,6211604PT071
9405692,70047603,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 53 PM,6211602PT017
9400099,70045903,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 12: 24: 10 PM,6211604PT076
9400095,70045899,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 23: 21 PM,6211604PT074
9400097,70045901,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 21: 37 PM,6211604PT073
9412914,70044740,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 53: 49 PM,6211607PT271
9382045,70045634,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 39: 23 PM,6211517PT005
9412913,70044739,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 48 PM,6211606PT246
9403938,70045451,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 57 PM,6211602PT012
9382042,70045631,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6211517PT002
9382038,70045627,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211513PT017
9382044,70045633,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 56: 23 PM,6211517PT004
9400080,70045884,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 05 PM,6211603PT324
9412915,70044741,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 10 PM,6211608PT077
9421534,70047755,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 47 PM,6211610PT073
9382049,70045638,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6211517PT017
9382035,70045624,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6211509PT019
9400086,70045890,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 48 PM,6211603PT325
9400087,70045891,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 28 PM,6211604PT092
9404861,70046272,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 40 PM,6211603PT319
9404860,70046271,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 16: 08 PM,6211603PT320
9421576,70044766,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 09: 00 PM,6211608PT090
9403939,70045452,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 01: 22: 13 PM,6211603PT075
9401219,6588806,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211604PT087
9421535,70047756,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 08: 01 PM,6211610PT070
9412911,70044737,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211508PT025
9386233,70043809,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211509PT022
9421536,70047757,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 14 PM,6211610PT074
9422258,70044768,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 29 PM,6211608PT094
9400450,70041481,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 34 PM,6211604PT089
9400093,70045897,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 26 PM,6211604PT079
9382036,70045625,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211513PT011
9400090,70045894,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 11: 44 PM,6211604PT072
9386229,70043805,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 29 PM,6211511PT016
9382046,70045635,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211517PT010
9400100,70045904,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 35 PM,6211604PT091
9421533,70047754,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 47: 36 PM,6211610PT068
9400084,70045888,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 20: 19 PM,6211603PT327
9405688,70047599,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 47 PM,6211602PT019
9385000,70044997,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 25 PM,6211508PT013
9404893,70047980,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 13: 21 PM,6211605PT129
9385001,70044998,Canada,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,6211508PT016
9385004,70045001,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 59 PM,6211511PT040
9415760,70048067,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 34: 47 PM,6211607PT287
9410482,70047866,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 28 PM,6211603PT081
9416433,70048139,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 41 PM,6211608PT085
9384998,70044995,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 03: 23 PM,6211508PT007
9410490,70047874,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 33 PM,6211607PT280
9404890,70047977,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211605PT086
9385002,70044999,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 01: 36: 37 PM,6211509PT016
9415762,70048069,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 51: 13 PM,6211607PT289
9410483,70047867,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211603PT082
9384997,70044994,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 03 PM,6211508PT006
9410491,70047875,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 26 PM,6211607PT281
9410487,70047871,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211607PT277
9410489,70047873,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 14 PM,6211607PT279
9404888,70047975,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 07: 23 PM,6211605PT081
9410479,70047863,Canada,Transmitting Data,Connected & Reporting,No Action,06-12-2016 09: 44: 25 PM,6211603PT077
9410486,70047870,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 35: 48 PM,6211607PT275
9385005,70045002,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 04: 38 PM,6211513PT010
9384996,70044993,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 33: 33 PM,6211508PT005
9404894,70047981,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 13 PM,6211605PT130
9416431,70048137,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 13: 11 PM,6211608PT082
9410999,70047858,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 32: 08 PM,6211603PT076
9404887,70047974,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 33: 08 PM,6211605PT078
9410494,70047878,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 59: 56 PM,6211607PT284
9415763,70048070,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 45: 51 PM,6211607PT290
9404895,70047982,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 07 PM,6211605PT131
9410488,70047872,Canada,Transmitting Data,Connected & Reporting,No Action,06-12-2016 08: 39: 18 PM,6211607PT278
9415756,70048063,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-24-2016 09: 53: 52 PM,6211607PT274
9384999,70044996,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 04: 35 PM,6211508PT012
9416429,70048135,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 01: 04 PM,6211608PT074
9410998,70047857,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 11: 26 PM,6211602PT018
9414182,70044784,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 46 PM,6211605PT135
9415709,70030814,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 10: 18 PM,6211605PT145
9407365,70044832,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 58 PM,6211604PT090
9252763,70035469,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,62A1507KD006
9387566,70043562,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 43 PM,6211508PT024
9411792,70049480,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 10 PM,6211605PT141
9408063,70046633,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 20 PM,6211605PT085
9411835,70049454,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 30 PM,6211606PT254
9387570,70043566,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 10: 02 PM,6211511PT017
9386228,70043804,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211511PT014
9386232,70043808,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211507PT018
9412778,70048560,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 50 PM,6211606PT250
9387207,70042211,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211508PT026
9414189,70048556,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 28: 03 PM,6211608PT076
9414188,70048555,Canada,Not Connected,SEN - Activation In Progress,No Action,,6211608PT079
9412782,70048564,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 38 PM,6211606PT252
9387564,70043560,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 56: 36 PM,6211508PT014
9411838,70049457,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 03: 56 PM,6211607PT267
9387206,70042210,Canada,Not Connected,SEN - Activation In Progress,No Action,,6211508PT030
9411793,70049481,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 12 PM,6211605PT142
9408062,70046632,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 13: 20 PM,6211605PT082
9412783,70048565,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 50: 07 AM,6211606PT270
9387568,70043564,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 07: 28 PM,6211510PT016
9408067,70046637,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 13: 54 PM,6211605PT091
9414187,70048554,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 48 PM,6211608PT081
9412780,70048562,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 11: 28 PM,6211606PT249
9411826,70049445,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 56 PM,6211605PT151
9387563,70043559,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 08: 15 PM,6211508PT011
9386230,70043806,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211508PT029
9412776,70048558,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 08: 11 PM,6211606PT245
9411831,70049450,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 51 PM,6211606PT237
9387567,70043563,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 52 PM,6211509PT023
9421603,70048494,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 32: 33 PM,6211608PT086
9411787,70049475,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 09: 42 PM,6211605PT133
9411839,70049458,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 06 PM,6211607PT268
9407367,70044835,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 52 PM,6211604PT082
9382052,70045641,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 18 PM,6211520PT015
9400081,70045885,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 20 PM,6211604PT075
9400079,70045883,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 01: 46: 11 PM,6211604PT077
9400083,70045887,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 43: 30 PM,6211603PT326
9421518,70047753,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 08: 55: 43 PM,6211610PT072
9382047,70045636,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 35: 17 PM,6211517PT011
9382041,70045630,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 48: 26 PM,6211517PT001
9405689,70047600,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 56: 24 PM,6211603PT074
9382050,70045639,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211517PT018
9400088,70045892,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 53 PM,6211603PT328
9400098,70045902,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 01: 34 PM,6211605PT075
9400089,70045893,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 03 PM,6211604PT078
9405693,70047604,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 51 PM,6211602PT016
9382043,70045632,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 35 PM,6211517PT003
9405687,70047598,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 08: 39: 25 PM,6211602PT020
9400082,70045886,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 53 PM,6211603PT323
9400092,70045896,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 04: 49 PM,6211604PT094
9404889,70047976,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 39 PM,6211605PT083
9407366,70044834,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 28 PM,6211604PT088
9405690,70047601,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 44 PM,6211602PT015
9382048,70045637,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 53: 20 PM,6211517PT012
9382039,70045628,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 57: 20 PM,6211513PT020
9405686,70047597,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 43: 39 PM,6211603PT329
9400096,70045900,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 46: 37 PM,6211605PT076
9404864,70046275,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 57 PM,6211603PT316
9404866,70046277,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 52: 16 PM,6211602PT004
9382034,70045623,Canada,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,6211509PT011
9382033,70045622,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-31-2016 10: 27: 39 PM,6211508PT017
9403882,70044718,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 20: 42 PM,6211603PT321
9412912,70044738,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211520PT011
9412916,70044742,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 04: 57 PM,6211608PT078
9421574,70044762,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 15 PM,6211608PT091
9408064,70046634,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 10 PM,6211605PT088
9408061,70046631,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 51 PM,6211605PT080
9387569,70043565,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211510PT025
9412785,70048567,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 02 PM,6211606PT223
9405265,6707377,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-02-2016 04: 38: 18 PM,6211605PT092
9405266,6707378,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 12: 24: 54 PM,6211605PT084
9404886,70047973,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 10 PM,6211603PT322
9387209,70042213,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 12: 41 PM,6211511PT033
9415757,70048064,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 11: 41 PM,6211607PT276
9387204,70042208,Canada,Not Connected,Activation / Installation Issues,Validate Modem Connected to NUC & Installation SOP,,6211508PT027
9385007,70045004,Canada,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-11-2016 09: 52: 37 PM,6211513PT022
9414190,70048557,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 39 PM,6211608PT080
9385008,70045005,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 04 PM,6211520PT014
9387205,70042209,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211511PT015
9416428,70048134,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 55: 10 PM,6211608PT073
9408065,70046635,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 28: 25 PM,6211605PT089
9411796,70049484,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 15: 13 PM,6211605PT146
9411798,70049486,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 45 PM,6211605PT148
9416427,70048133,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 40 PM,6211608PT072
9411791,70049479,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 08: 20 PM,6211605PT140
9411827,70049446,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 12 PM,6211606PT231
9412779,70048561,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211606PT242
9385003,70045000,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 25: 52 PM,6211511PT037
9387212,70042216,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211511PT018
9387210,70042214,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 05 PM,6211510PT017
